Anio,Trimestre,Empresa,NombreCorto,NombreLargo,SIC,NAICS,Activos,Inventarios,PasivoCirc,PasivoLP,PPE,CPP,Efectivo,GC,CBV,UOAD,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Accion,mkt_capital,No_Acciones
2017,3,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,327606.526,40514.795,85047.504,154828.362,143555.537,51131.429,23646.488,3874.575928,61368.48828,-5366.526855,76235.44531,1863.609985,130865.3594,39119.60938,81601.96875,20233.48047,121979.829,116935.186,0.95864363
2017,4,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,358968.217,44340.633,98193.529,168348.061,153642.275,61213.923,32813.228,4043.460938,64816.98438,5447.438965,81345.10156,2189.605957,143815.7031,39258.27734,75897.66406,11080.67969,188318.35,109291.5,0.580355021
2007,2,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,4494.78,213.017,1288.465,337.803,2450.327,283.51,187.35,,,,,,337.803009,649.2739868,,,7290.2994,11824.0558,1.621888917
2007,3,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,4772.382,223.122,1153.078,601.954,2661.23,329.129,132.534,,604.257019,174.7200012,1805.634033,18.97999954,601.9539795,679.3950195,1630.914063,1026.656982,6257.5504,11255.2811,1.798672065
2007,4,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,5300.135,242.973,1429.641,698.9,2778.668,487.564,209.327,,668.3950195,203.5,2001.053955,20.94799995,698.9000244,904.8200073,1797.553955,1129.158936,423.276,9467.8359,22.36799606
2008,1,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,5271.537,212.712,1420.297,645.383,2865.471,344.033,73.679,,658.7030029,110.913002,1829.781982,20.95499992,645.3829956,934.3300171,1718.869019,1060.166016,628.0352,8044.908,12.80964506
2008,2,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,5487.323,252.766,1667.808,600.984,2950.796,329.376,65.346,,692.2609863,105.7939987,1912.295044,26.12100029,600.9840088,986.2720337,1806.501099,1114.240112,58213.6353,8079.2888,0.13878688
2008,3,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,5710.2,258.288,1583.869,842.049,3021.777,207.252,88.144,188.2389984,681.4589844,136.4859924,1954.719971,31.27799988,842.0490112,1037.949951,1818.234009,1136.775024,6149.9735,5048.733,0.820935732
2008,4,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,6399.733,361.524,1965.693,1130.098,3044.911,536.729,538.48,,748.901001,105.8939972,2090.045898,45.72499847,1130.098022,970.5960083,1984.151855,1235.250854,9278.2428,3849.9031,0.414938818
2009,1,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,6083.773,271.167,1782.973,1040.839,3025.276,430.067,310.351,62.72399902,792.5490112,4.600999832,2084.103027,42.66500092,1040.838989,924.8629761,2079.501953,1286.952881,12730.6108,2568.8663,0.201786571
2009,2,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,5844.182,300.273,1843.159,845.414,2942.279,411.698,305.073,,772.0809937,17.40399933,2072.7229,36.47499847,845.4140015,784.1469727,2055.318848,1283.237793,873.0648,4581.9273,5.24809533
2009,3,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,5713.62,305.875,1842.899,670.457,2912.811,437.001,476.21,,785.4470215,74.5510025,2119.593994,27.99699974,670.4569702,509.1470032,2045.042969,1259.595947,55081.8891,5294.794,0.096125861
2009,4,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,5808.809,336.87,1894.664,708.787,2897.678,559.149,463.214,,816.3839722,238.5140076,2310.660889,30.61700058,708.7869873,517.4879761,2072.146973,1255.762939,8522.2268,6080.6661,0.713506721
2010,1,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,6061.354,290.215,1738.837,1017.356,2829.375,413.34,669.14,19.07999992,729.4520264,56.00099945,2095.818115,23.125,1017.355957,598.7609863,2039.817139,1310.365112,11244.0453,8151.7294,0.724981907
2010,2,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,5740.582,293.917,1455.274,1070.646,2858.706,451.932,480.304,173.0079956,740.1119995,94.09200287,2166.695068,25.57699966,1070.645996,429.901001,2072.603027,1332.490967,11824.0558,7399.8302,0.625828423
2010,3,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,5783.639,300.857,1574.449,990.15,2886.739,516.597,482.518,140.647995,796.0709839,74.17900085,2274.927002,25.29299927,990.1500244,432.868988,2200.748047,1404.677002,856.8209,7679.0586,8.962268077
2010,4,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,6110.454,352.438,1561.339,1368,2942.044,679.773,640.203,180.6690063,873.1729736,103.8099976,2458.552979,33.69800186,1368,464.7430115,2354.74292,1481.569946,49497.7834,7830.9798,0.158208697
2011,1,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,6036.196,356.128,1439.678,1326.5,3035.678,560.032,370.926,159.2550049,834.6680298,66.01399994,2383.284912,24.83600044,1326.5,493.9030151,2317.270996,1482.603027,52050.6777,7710.016,0.14812518
2011,2,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,6367.868,391.274,1575.428,1604,3150.216,654.982,575.827,228.4759979,898.0120239,152.4839935,2611.7771,41.34500122,1604,477.5010071,2459.293213,1561.28125,11302.3568,7290.2994,0.645024708
2011,3,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,6659.507,360.946,1800.128,1562.5,3254.159,644.011,684.852,221.2369995,994.8950195,146.5619965,2789.319092,29.35899925,1562.5,494.8070068,2642.75708,1647.862061,11255.2811,6149.9735,0.54640781
2011,4,"ALSEA, S.A.B. DE C.V.",ALSEA,ALSEA,5812,722513,9407.109,403.13,2150.708,3877.667,3472.42,988.426,739.379,349.5620117,1060.024048,170.6170044,2884.389893,56.15200043,3877.666992,629.3140259,2713.772949,1653.748901,878.6117,8522.2268,9.699650938
